appointmentId,listingPrice,carName,make,model,variant,year,transmissionType,bodyType,fuelType,ownership,registrationDate,cityRto,color,odometer,emiDetails,modelGroup,fitnessAge,features
11959240770,452000,Maruti S PRESSO,Maruti,S PRESSO,VXI+,2023,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,1,1680307200000,WB02,Silver,"{'value': 21697, 'display': '21.70k km'}","{'cashDownPayment': 0, 'emiStartingValue': 8837, 'emiEndingValue': 8837, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 8837, 'emiOriginalEndingValue': 8837, 'tenure': 72, 'displayText': 'EMI ₹8,837/m', 'notAvailableText': 'Not available on EMI'}",S PRESSO,15,"['InfotainmentSystem', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist']"
11327545788,450000,Ford Ecosport,Ford,Ecosport,TITANIUM+ 1.5L DIESEL,2016,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,3,1485907200000,TN14,Black,"{'value': 91704, 'display': '91.70k km'}","{'cashDownPayment': 0, 'emiStartingValue': 10010, 'emiEndingValue': 10010, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 10010, 'emiOriginalEndingValue': 10010, 'tenure': 60, 'displayText': 'EMI ₹10,010/m', 'notAvailableText': 'Not available on EMI'}",Ecosport,14,"['LeatherSeats', 'AlloyWheels', 'Bluetooth', 'ParkingAssist', 'PushButtonStart', 'TopModel']"
10274146718,861000,KIA SONET,KIA,SONET,HTK PLUS 1.0 IMT,2023,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1680307200000,KA03,Black,"{'value': 32784, 'display': '32.78k km'}","{'cashDownPayment': 0, 'emiStartingValue': 16388, 'emiEndingValue': 16388, 'roiMinDiscounted': 11.0, 'roiMaxDiscounted': 11.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 16833, 'emiOriginalEndingValue': 16833, 'tenure': 72, 'displayText': 'EMI ₹16,388/m', 'notAvailableText': 'Not available on EMI'}",SONET,15,"['InfotainmentSystem', 'RearAc', 'Sunroof/Moonroof', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'PushButtonStart', 'Tpms']"
15203245774,1000000,Volkswagen TAIGUN,Volkswagen,TAIGUN,COMFORTLINE 1.0 TSI MT,2022,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1661990400000,RJ19,Silver,"{'value': 23848, 'display': '23.85k km'}","{'cashDownPayment': 0, 'emiStartingValue': 19034, 'emiEndingValue': 19034, 'roiMinDiscounted': 11.0, 'roiMaxDiscounted': 11.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 19550, 'emiOriginalEndingValue': 19550, 'tenure': 72, 'displayText': 'EMI ₹19,034/m', 'notAvailableText': 'Not available on EMI'}",TAIGUN,15,"['InfotainmentSystem', 'RearAc', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'Tpms']"
12530344793,612000,Maruti Ertiga,Maruti,Ertiga,VDI,2014,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,2,1409529600000,MH20,White,"{'value': 220702, 'display': '2.2L km'}","{'cashDownPayment': 0, 'emiStartingValue': 20327, 'emiEndingValue': 20327, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 20327, 'emiOriginalEndingValue': 20327, 'tenure': 36, 'displayText': 'EMI ₹20,327/m', 'notAvailableText': 'Not available on EMI'}",Ertiga,14,"['RearAc', 'SpecialRegNo']"
17176742770,515000,Volkswagen Polo,Volkswagen,Polo,GT TSI AT,2018,"{'value': 'Automatic', 'display': 'Auto'}",Hatchback,Petrol,3,1535760000000,TN57,White,"{'value': 70743, 'display': '70.74k km'}","{'cashDownPayment': 0, 'emiStartingValue': 10068, 'emiEndingValue': 10068, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 10068, 'emiOriginalEndingValue': 10068, 'tenure': 72, 'displayText': 'EMI ₹10,068/m', 'notAvailableText': 'Not available on EMI'}",Polo,15,"['AlloyWheels', 'Bluetooth', 'ParkingAssist', 'CruiseControl']"
12529943753,650000,Tata PUNCH,Tata,PUNCH,PURE MT,2023,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1688169600000,MH22,Silver,"{'value': 15882, 'display': '15.88k km'}","{'cashDownPayment': 0, 'emiStartingValue': 12708, 'emiEndingValue': 12708, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 12708, 'emiOriginalEndingValue': 12708, 'tenure': 72, 'displayText': 'EMI ₹12,708/m', 'notAvailableText': 'Not available on EMI'}",PUNCH,15,['ParkingAssist']
10530022700,295000,Maruti Swift Dzire,Maruti,Swift Dzire,VXI,2013,"{'value': 'Manual', 'display': 'Manual'}",Sedan,Petrol,1,1380585600000,DL13,Silver,"{'value': 22909, 'display': '22.91k km'}","{'cashDownPayment': 0, 'emiStartingValue': 9798, 'emiEndingValue': 9798, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 9798, 'emiOriginalEndingValue': 9798, 'tenure': 36, 'displayText': 'EMI ₹9,798/m', 'notAvailableText': 'Not available on EMI'}",Dzire,15,[]
DLR1000806,483317,Toyota Innova,Toyota,Innova,2.5 G4 8 STR,2011,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,1,1314835200000,MH04,Silver,"{'value': 109667, 'display': '1.1L km'}","{'cashDownPayment': 0, 'emiStartingValue': 9449, 'emiEndingValue': 9449, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 9449, 'emiOriginalEndingValue': 9449, 'tenure': 0, 'displayText': 'EMI ₹9,449/m', 'notAvailableText': 'Not available on EMI'}",Innova,14,['RearAc']
10427821705,355000,Renault Kwid,Renault,Kwid,CLIMBER 1.0 (O),2020,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,1,1598918400000,TS09,Blue,"{'value': 39651, 'display': '39.65k km'}","{'cashDownPayment': 0, 'emiStartingValue': 6940, 'emiEndingValue': 6940, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 6940, 'emiOriginalEndingValue': 6940, 'tenure': 72, 'displayText': 'EMI ₹6,940/m', 'notAvailableText': 'Not available on EMI'}",Kwid,15,"['InfotainmentSystem', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'GpsNavigation']"
10412348750,297000,Datsun Redi Go,Datsun,Redi Go,S 1.0 AMT,2019,"{'value': 'Automatic', 'display': 'Auto'}",Hatchback,Petrol,1,1577836800000,TS07,Red,"{'value': 42283, 'display': '42.28k km'}","{'cashDownPayment': 0, 'emiStartingValue': 5806, 'emiEndingValue': 5806, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 5806, 'emiOriginalEndingValue': 5806, 'tenure': 72, 'displayText': 'EMI ₹5,806/m', 'notAvailableText': 'Not available on EMI'}",Redi Go,15,['Bluetooth']
DLR1001070,495000,Maruti Swift,Maruti,Swift,VXI,2019,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,1,1575158400000,UP78,Silver,"{'value': 66671, 'display': '66.67k km'}","{'cashDownPayment': 0, 'emiStartingValue': 9677, 'emiEndingValue': 9677, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 9677, 'emiOriginalEndingValue': 9677, 'tenure': 72, 'displayText': 'EMI ₹9,677/m', 'notAvailableText': 'Not available on EMI'}",Swift,15,['Bluetooth']
15304727707,1195000,Volkswagen VIRTUS,Volkswagen,VIRTUS,TOPLINE TSI 1.0 MT,2022,"{'value': 'Manual', 'display': 'Manual'}",Sedan,Petrol,1,1664582400000,MP32,Blue,"{'value': 26491, 'display': '26.49k km'}","{'cashDownPayment': 0, 'emiStartingValue': 22746, 'emiEndingValue': 22746, 'roiMinDiscounted': 11.0, 'roiMaxDiscounted': 11.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 23362, 'emiOriginalEndingValue': 23362, 'tenure': 72, 'displayText': 'EMI ₹22,746/m', 'notAvailableText': 'Not available on EMI'}",VIRTUS,15,"['InfotainmentSystem', 'RearAc', 'Sunroof/Moonroof', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'CruiseControl', 'PushButtonStart', 'VentilatedSeats', 'Tpms']"
10285948794,266000,Hyundai Eon,Hyundai,Eon,ERA +,2014,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,1,1417392000000,KA01,Blue,"{'value': 38044, 'display': '38.04k km'}","{'cashDownPayment': 0, 'emiStartingValue': 7005, 'emiEndingValue': 7005, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 7005, 'emiOriginalEndingValue': 7005, 'tenure': 48, 'displayText': 'EMI ₹7,005/m', 'notAvailableText': 'Not available on EMI'}",Eon,15,[]
12021829768,375000,Maruti Swift Dzire,Maruti,Swift Dzire,ZXI,2015,"{'value': 'Manual', 'display': 'Manual'}",Sedan,Petrol,1,1435708800000,HR05,White,"{'value': 63571, 'display': '63.57k km'}","{'cashDownPayment': 0, 'emiStartingValue': 8342, 'emiEndingValue': 8342, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 8342, 'emiOriginalEndingValue': 8342, 'tenure': 60, 'displayText': 'EMI ₹8,342/m', 'notAvailableText': 'Not available on EMI'}",Dzire,15,"['AlloyWheels', 'Bluetooth', 'ParkingAssist', 'TopModel']"
11916449796,975000,KIA SONET,KIA,SONET,	 HTX 1.0 TURBO DCT,2023,"{'value': 'Automatic', 'display': 'Auto'}",SUV,Petrol,1,1680307200000,WB10,Black,"{'value': 6557, 'display': '6.56k km'}","{'cashDownPayment': 0, 'emiStartingValue': 18558, 'emiEndingValue': 18558, 'roiMinDiscounted': 11.0, 'roiMaxDiscounted': 11.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 19061, 'emiOriginalEndingValue': 19061, 'tenure': 72, 'displayText': 'EMI ₹18,558/m', 'notAvailableText': 'Not available on EMI'}",SONET,15,[]
15119922741,380000,Maruti Swift Dzire,Maruti,Swift Dzire,VXI,2016,"{'value': 'Manual', 'display': 'Manual'}",Sedan,Petrol,1,1483228800000,UP15,Silver,"{'value': 63989, 'display': '63.99k km'}","{'cashDownPayment': 0, 'emiStartingValue': 7429, 'emiEndingValue': 7429, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 7429, 'emiOriginalEndingValue': 7429, 'tenure': 72, 'displayText': 'EMI ₹7,429/m', 'notAvailableText': 'Not available on EMI'}",Dzire,15,[]
11419246750,488000,Maruti Baleno,Maruti,Baleno,DELTA PETROL 1.2,2019,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,2,1561939200000,GJ01,Red,"{'value': 35932, 'display': '35.93k km'}","{'cashDownPayment': 0, 'emiStartingValue': 9540, 'emiEndingValue': 9540, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 9540, 'emiOriginalEndingValue': 9540, 'tenure': 72, 'displayText': 'EMI ₹9,540/m', 'notAvailableText': 'Not available on EMI'}",Baleno,15,"['Bluetooth', 'ParkingAssist']"
11004348774,299000,Hyundai Grand i10,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,2014,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,1,1406851200000,DL3C,White,"{'value': 57493, 'display': '57.49k km'}","{'cashDownPayment': 0, 'emiStartingValue': 7874, 'emiEndingValue': 7874, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 7874, 'emiOriginalEndingValue': 7874, 'tenure': 48, 'displayText': 'EMI ₹7,874/m', 'notAvailableText': 'Not available on EMI'}",i10,15,['RearAc']
17225046759,795000,Maruti Dzire,Maruti,Dzire,ZXI Plus,2024,"{'value': 'Manual', 'display': 'Manual'}",Sedan,Petrol,1,1711929600000,CG04,White,"{'value': 5778, 'display': '5.78k km'}","{'cashDownPayment': 0, 'emiStartingValue': 15542, 'emiEndingValue': 15542, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 15542, 'emiOriginalEndingValue': 15542, 'tenure': 72, 'displayText': 'EMI ₹15,542/m', 'notAvailableText': 'Not available on EMI'}",Dzire,15,"['InfotainmentSystem', 'RearAc', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'CruiseControl', 'PushButtonStart']"
DLR1001816,720000,Hyundai VENUE,Hyundai,VENUE,S 1.2,2021,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1627776000000,OD33,White,"{'value': 48460, 'display': '48.46k km'}","{'cashDownPayment': 0, 'emiStartingValue': 14076, 'emiEndingValue': 14076, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 14076, 'emiOriginalEndingValue': 14076, 'tenure': 72, 'displayText': 'EMI ₹14,076/m', 'notAvailableText': 'Not available on EMI'}",VENUE,15,"['RearAc', 'Bluetooth', 'ParkingAssist']"
10214322762,521000,Ford FREESTYLE,Ford,FREESTYLE,TITANIUM PLUS 1.2 PETROL,2019,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,2,1556668800000,KA04,White,"{'value': 31701, 'display': '31.70k km'}","{'cashDownPayment': 0, 'emiStartingValue': 10186, 'emiEndingValue': 10186, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 10186, 'emiOriginalEndingValue': 10186, 'tenure': 72, 'displayText': 'EMI ₹10,186/m', 'notAvailableText': 'Not available on EMI'}",FREESTYLE,15,"['LeatherSeats', 'AlloyWheels', 'Bluetooth', 'ParkingAssist', 'PushButtonStart', 'GpsNavigation']"
10255528707,513000,Maruti Baleno,Maruti,Baleno,DELTA PETROL 1.2,2017,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,1,1504224000000,KA53,Red,"{'value': 52426, 'display': '52.43k km'}","{'cashDownPayment': 0, 'emiStartingValue': 10029, 'emiEndingValue': 10029, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 10029, 'emiOriginalEndingValue': 10029, 'tenure': 72, 'displayText': 'EMI ₹10,029/m', 'notAvailableText': 'Not available on EMI'}",Baleno,15,"['Bluetooth', 'ParkingAssist']"
10287745775,604000,Honda City,Honda,City,1.5L I-VTEC VX CVT,2015,"{'value': 'Automatic', 'display': 'Auto'}",Sedan,Petrol,2,1420070400000,KA53,Red,"{'value': 72602, 'display': '72.60k km'}","{'cashDownPayment': 0, 'emiStartingValue': 13436, 'emiEndingValue': 13436, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 13436, 'emiOriginalEndingValue': 13436, 'tenure': 60, 'displayText': 'EMI ₹13,436/m', 'notAvailableText': 'Not available on EMI'}",City,15,"['RearAc', 'Sunroof/Moonroof', 'LeatherSeats', 'AlloyWheels', 'Bluetooth', 'ParkingAssist', 'CruiseControl']"
15183729708,756000,Mahindra XUV500,Mahindra,XUV500,W9 AT,2017,"{'value': 'Automatic', 'display': 'Auto'}",SUV,Diesel,1,1533081600000,UK07,White,"{'value': 113609, 'display': '1.1L km'}","{'cashDownPayment': 0, 'emiStartingValue': 35588, 'emiEndingValue': 35588, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 35588, 'emiOriginalEndingValue': 35588, 'tenure': 24, 'displayText': 'EMI ₹35,588/m', 'notAvailableText': 'Not available on EMI'}",XUV500,10,"['RearAc', 'Sunroof/Moonroof', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'CruiseControl', 'PushButtonStart', 'TopModel', 'GpsNavigation', 'Tpms']"
13923723724,232000,Maruti Alto 800,Maruti,Alto 800,LXI,2019,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,2,1554076800000,UP78,Silver,"{'value': 61127, 'display': '61.13k km'}","{'cashDownPayment': 0, 'emiStartingValue': 4536, 'emiEndingValue': 4536, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 4536, 'emiOriginalEndingValue': 4536, 'tenure': 72, 'displayText': 'EMI ₹4,536/m', 'notAvailableText': 'Not available on EMI'}",Alto,15,[]
10438420768,584000,Maruti Ertiga,Maruti,Ertiga,ZXI,2014,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1393632000000,AP10,White,"{'value': 50518, 'display': '50.52k km'}","{'cashDownPayment': 0, 'emiStartingValue': 15379, 'emiEndingValue': 15379, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 15379, 'emiOriginalEndingValue': 15379, 'tenure': 48, 'displayText': 'EMI ₹15,379/m', 'notAvailableText': 'Not available on EMI'}",Ertiga,15,"['RearAc', 'AlloyWheels', 'TopModel']"
31187223761,795160,Maruti Baleno,Maruti,Baleno, ZETA CNG 1.2L,2023,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,CNG,1,1677628800000,MP13,White,"{'value': 15498, 'display': '15.50k km'}","{'cashDownPayment': 0, 'emiStartingValue': 15546, 'emiEndingValue': 15546, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 15546, 'emiOriginalEndingValue': 15546, 'tenure': 72, 'displayText': 'EMI ₹15,546/m', 'notAvailableText': 'Not available on EMI'}",Baleno,13,"['InfotainmentSystem', 'RearAc', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'PushButtonStart']"
12510148773,488000,Hyundai Elite i20,Hyundai,Elite i20,SPORTZ 1.2,2017,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,2,1512086400000,MH02,White,"{'value': 54803, 'display': '54.80k km'}","{'cashDownPayment': 0, 'emiStartingValue': 9540, 'emiEndingValue': 9540, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 9540, 'emiOriginalEndingValue': 9540, 'tenure': 72, 'displayText': 'EMI ₹9,540/m', 'notAvailableText': 'Not available on EMI'}",i20,15,"['RearAc', 'Bluetooth', 'ParkingAssist']"
10097742715,715000,KIA SONET,KIA,SONET,HTK PLUS 1.2,2020,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1604188800000,DL4C,Red,"{'value': 44197, 'display': '44.20k km'}","{'cashDownPayment': 0, 'emiStartingValue': 13978, 'emiEndingValue': 13978, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 13978, 'emiOriginalEndingValue': 13978, 'tenure': 72, 'displayText': 'EMI ₹13,978/m', 'notAvailableText': 'Not available on EMI'}",SONET,15,"['InfotainmentSystem', 'RearAc', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist']"
