,listingPrice,make,model,variant,year,transmissionType,bodyType,fuelType,ownership,color,odometer,fitnessAge,360DegreeCamera,AlloyWheels,AppleCarplayAndroidAuto,Bluetooth,CruiseControl,GpsNavigation,InfotainmentSystem,LeatherSeats,ParkingAssist,PushButtonStart,RearAc,SpecialRegNo,Sunroof/Moonroof,TopModel,Tpms,VentilatedSeats,featureCount,avgEmi
0,452000,Maruti,S PRESSO,VXI+,2023,Manual,Hatchback,Petrol,,Silver,21697,15,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,4,8837.0
1,450000,Ford,Ecosport,TITANIUM+ 1.5L DIESEL,2016,Manual,SUV,Diesel,,Black,91704,14,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,10010.0
2,861000,KIA,SONET,HTK PLUS 1.0 IMT,2023,Manual,SUV,Petrol,,Black,32784,15,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,8,16388.0
3,1000000,Volkswagen,TAIGUN,COMFORTLINE 1.0 TSI MT,2022,Manual,SUV,Petrol,,Silver,23848,15,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,6,19034.0
4,612000,Maruti,Ertiga,VDI,2014,Manual,SUV,Diesel,,White,220702,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,20327.0
5,515000,Volkswagen,Polo,GT TSI AT,2018,Automatic,Hatchback,Petrol,,White,70743,15,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,10068.0
6,650000,Tata,PUNCH,PURE MT,2023,Manual,SUV,Petrol,,Silver,15882,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12708.0
7,295000,Maruti,Swift Dzire,VXI,2013,Manual,Sedan,Petrol,,Silver,22909,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9798.0
8,483317,Toyota,Innova,2.5 G4 8 STR,2011,Manual,SUV,Diesel,,Silver,109667,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9449.0
9,355000,Renault,Kwid,CLIMBER 1.0 (O),2020,Manual,Hatchback,Petrol,,Blue,39651,15,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,5,6940.0
10,297000,Datsun,Redi Go,S 1.0 AMT,2019,Automatic,Hatchback,Petrol,,Red,42283,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5806.0
11,495000,Maruti,Swift,VXI,2019,Manual,Hatchback,Petrol,,Silver,66671,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9677.0
12,1195000,Volkswagen,VIRTUS,TOPLINE TSI 1.0 MT,2022,Manual,Sedan,Petrol,,Blue,26491,15,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,11,22746.0
13,266000,Hyundai,Eon,ERA +,2014,Manual,Hatchback,Petrol,,Blue,38044,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7005.0
14,375000,Maruti,Swift Dzire,ZXI,2015,Manual,Sedan,Petrol,,White,63571,15,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,8342.0
15,975000,KIA,SONET,	 HTX 1.0 TURBO DCT,2023,Automatic,SUV,Petrol,,Black,6557,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18558.0
16,380000,Maruti,Swift Dzire,VXI,2016,Manual,Sedan,Petrol,,Silver,63989,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7429.0
17,488000,Maruti,Baleno,DELTA PETROL 1.2,2019,Manual,Hatchback,Petrol,,Red,35932,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,9540.0
18,299000,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,2014,Manual,Hatchback,Petrol,,White,57493,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7874.0
19,795000,Maruti,Dzire,ZXI Plus,2024,Manual,Sedan,Petrol,,White,5778,15,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,8,15542.0
20,720000,Hyundai,VENUE,S 1.2,2021,Manual,SUV,Petrol,,White,48460,15,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,14076.0
21,521000,Ford,FREESTYLE,TITANIUM PLUS 1.2 PETROL,2019,Manual,SUV,Petrol,,White,31701,15,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,6,10186.0
22,513000,Maruti,Baleno,DELTA PETROL 1.2,2017,Manual,Hatchback,Petrol,,Red,52426,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,10029.0
23,604000,Honda,City,1.5L I-VTEC VX CVT,2015,Automatic,Sedan,Petrol,,Red,72602,15,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,7,13436.0
24,756000,Mahindra,XUV500,W9 AT,2017,Automatic,SUV,Diesel,,White,113609,10,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,11,35588.0
25,232000,Maruti,Alto 800,LXI,2019,Manual,Hatchback,Petrol,,Silver,61127,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4536.0
26,584000,Maruti,Ertiga,ZXI,2014,Manual,SUV,Petrol,,White,50518,15,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,15379.0
27,795160,Maruti,Baleno, ZETA CNG 1.2L,2023,Manual,Hatchback,CNG,,White,15498,13,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,7,15546.0
28,488000,Hyundai,Elite i20,SPORTZ 1.2,2017,Manual,Hatchback,Petrol,,White,54803,15,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,9540.0
29,715000,KIA,SONET,HTK PLUS 1.2,2020,Manual,SUV,Petrol,,Red,44197,15,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,5,13978.0
30,818000,KIA,SONET,HTX 1.5,2021,Manual,SUV,Diesel,,Black,104520,14,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,8,17785.0
31,285000,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2015,Manual,Hatchback,Petrol,,Silver,81569,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,6340.0
32,550000,Mahindra,XUV500,W10 1.99,2017,Manual,SUV,Diesel,,Silver,187311,14,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,11,12234.0
33,657000,Hyundai,Verna,1.6 VTVT SX,2017,Manual,Sedan,Petrol,,Silver,40074,15,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,5,12844.0
34,455000,Maruti,Baleno,RS 1.0 PETROL,2017,Manual,Hatchback,Petrol,,Silver,68644,15,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,6,8895.0
35,280000,Hyundai,i20 Active,1.4 SX,2015,Manual,Hatchback,Diesel,,Silver,87624,14,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,5,7373.0
36,750000,Mahindra,XUV300,W8 1.2 PETROL,2020,Manual,SUV,Petrol,,White,81317,15,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,9,14663.0
37,408031,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2018,Manual,Hatchback,Petrol,,White,87689,15,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,5,7977.0
38,729822,Hyundai,Creta,SX PLUS 1.6 PETROL,2016,Manual,SUV,Petrol,,Black,53087,15,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,6,14268.0
39,765380,Hyundai,VENUE,S 1.2,2023,Manual,SUV,Petrol,,Silver,27898,15,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,5,14963.0
40,380000,Honda,Amaze,1.2L I-VTEC S OPT,2018,Manual,Sedan,Petrol,,Silver,79862,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7429.0
41,201858,Tata,Nano,TWIST XTA,2016,Automatic,Hatchback,Petrol,,White,54500,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3946.0
42,1277000,Tata,Harrier,XZ PLUS 2.0L DARK EDITION,2020,Manual,SUV,Diesel,,Black,66912,10,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,10,27765.0
43,107000,Volkswagen,Polo,COMFORTLINE 1.2L,2011,Manual,Hatchback,Diesel,,Silver,72784,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2092.0
44,730000,Tata,Tiago,XT Rhythm CNG,2024,Manual,Hatchback,CNG,,,22564,13,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,4,14272.0
45,280000,Maruti,Swift,VXI,2013,Manual,Hatchback,Petrol,,Silver,35526,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9300.0
46,410000,Volkswagen,Ameo,HIGHLINE1.2L PLUS 16 ALLOY,2017,Manual,Sedan,Petrol,,White,78876,15,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,6,8016.0
47,517000,Maruti,Celerio,VXI CNG,2022,Manual,Hatchback,Petrol,,Silver,45947,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10107.0
48,784000,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT CNG,2023,Manual,Hatchback,Petrol,,Green,15029,15,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,6,15327.0
49,411000,Maruti,Wagon R 1.0,VXI,2017,Manual,Hatchback,Petrol,,White,29000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8035.0
50,480000,Tata,ALTROZ,XT PETROL,2020,Manual,Hatchback,CNG,,Silver,59350,13,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6,9384.0
51,987000,Tata,NEXON,XZA PLUS (O) DIESEL,2021,Automatic,SUV,Diesel,,Silver,58249,14,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,11,18787.0
52,685000,Ford,Ecosport,TITANIUM 1.5L PETROL,2018,Manual,SUV,Petrol,,Blue,68824,15,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,7,13392.0
53,1905000,Toyota,Fortuner,2.8 4X2 AT,2017,Automatic,SUV,Diesel,,Silver,112866,10,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,8,88788.0
54,6500000,Mercedes Benz,GLC CLASS,220d 4MATIC ,2022,Automatic,SUV,Diesel,,White,39289,14,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,13,123722.0
55,499000,Ford,Ecosport,TITANIUM 1.5L PETROL,2017,Manual,SUV,Petrol,,Silver,37779,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9756.0
56,1280000,Maruti,XL6,ZETA CNG,2024,Manual,SUV,Petrol,,White,5041,15,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,8,24364.0
57,1150000,MG,HECTOR,SHARP 1.5 DCT PETROL,2020,Automatic,SUV,Petrol,,White,47685,15,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,14,21889.0
58,400000,Tata,Tiago,XM DIESEL,2018,Manual,Hatchback,Diesel,,Silver,113324,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8898.0
59,476000,Hyundai,Grand i10,ASTA (O) AT 1.2 KAPPA VTVT,2016,Automatic,Hatchback,Petrol,,White,24261,15,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,5,9306.0
60,570000,Hyundai,i20 Active,1.2 S,2019,Manual,Hatchback,Petrol,,White,12198,15,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,6,11144.0
61,408000,Maruti,New Wagon-R,ZXI 1.2,2019,Manual,Hatchback,Petrol,,Silver,34855,15,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,4,7976.0
62,376000,Maruti,Celerio,ZXI AMT (O),2017,Automatic,Hatchback,Petrol,,Silver,52818,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7351.0
63,431000,Maruti,S PRESSO,VXI,2022,Manual,Hatchback,Petrol,,Silver,4950,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,8426.0
64,750000,Tata,PUNCH,ADVENTURE MT CNG ,2024,Manual,SUV,CNG,,White,22676,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,14663.0
65,834000,Tata,TIAGO NRG, NRG XZA CNG,2024,Automatic,Hatchback,CNG,,White,19380,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15874.0
66,730000,Toyota,URBAN CRUISER,MID GRADE AT,2022,Automatic,SUV,Petrol,,Silver,50684,15,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,14272.0
67,1446000,Hyundai,Creta,SX (O) AT 1.5 DIESEL,2022,Automatic,SUV,Diesel,,White,55191,14,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,14,27523.0
68,363000,Maruti,Alto,LXI OPT CNG,2022,Manual,Hatchback,CNG,,Red,22684,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7097.0
69,543000,Maruti,New Wagon-R,VXI 1.0,2021,Manual,Hatchback,Petrol,,White,47640,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,10616.0
70,1150000,Maruti,XL6,ALPHA PLUS MT,2023,Manual,SUV,Petrol,,Blue,2819,15,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,12,21889.0
71,639000,Maruti,S Cross,ZETA 1.3,2018,Manual,SUV,Diesel,,Silver,260981,14,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,9,14214.0
72,81000,Chevrolet,Spark,LT 1.0,2011,Manual,Hatchback,Petrol,,Blue,81476,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7197.0
73,912000,Mahindra,Thar,LX PETROL HT 4WD AT,2021,Automatic,SUV,Petrol,,Silver,46221,15,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,8,17359.0
74,634000,Hyundai,NEW I20,SPORTZ 1.2 MT,2022,Manual,Hatchback,Petrol,,White,40944,15,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,6,12395.0
75,855000,KIA,SONET,HTX 1.5,2021,Manual,SUV,Diesel,,Red,30103,10,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,10,16274.0
76,745000,Hyundai,VENUE,S 1.2,2022,Manual,SUV,Petrol,,Red,53615,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14565.0
77,750000,Maruti,Baleno,ZETA 1.2 AGS,2023,Automatic,Hatchback,Petrol,,Silver,7638,15,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,7,14663.0
78,1148000,KIA,SELTOS,HTX IVT 1.5 PETROL,2020,Automatic,SUV,Petrol,,Silver,21057,15,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,12,21851.0
79,384000,Hyundai,GRAND I10 NIOS,ERA 1.2 KAPPA VTVT,2020,Manual,Hatchback,Petrol,,White,57661,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7507.0
80,775000,Skoda,Rapid,STYLE 1.5 TDI AT,2018,Automatic,Sedan,Diesel,,Red,78867,14,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,9,15151.0
81,510000,Mahindra,TUV300,T8,2016,Manual,SUV,Diesel,,Silver,70993,14,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,11345.0
82,567000,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2019,Manual,Hatchback,Petrol,,Silver,19791,15,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,7,11085.0
83,449990,Maruti,Swift Dzire,VDI,2014,Manual,Sedan,Diesel,,White,66297,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14946.0
84,220000,Hyundai,Eon,ERA +,2016,Manual,Hatchback,Petrol,,White,44995,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4301.0
85,890000,MG,ASTOR,STYLE 1.5 MT,2023,Manual,SUV,Petrol,,White,3499,15,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,5,16940.0
86,438000,Hyundai,Elite i20,ASTA 1.4 CRDI,2017,Manual,Hatchback,Diesel,,White,82270,10,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,7,20618.0
87,590000,Tata,Tiago,XM CNG,2023,Manual,Hatchback,CNG,,Blue,33299,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,11535.0
88,220000,Honda,Amaze,1.5L I-DTEC S,2015,Manual,Sedan,Diesel,,White,162623,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5793.0
89,425000,Maruti,Baleno,DELTA PETROL 1.2,2016,Manual,Hatchback,Petrol,,Blue,20530,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,8309.0
90,501000,Tata,Tiago,XE CNG,2022,Manual,Hatchback,CNG,,Red,13823,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9795.0
91,800000,Maruti,Ertiga,ZXI+ SHVS,2019,Manual,SUV,Petrol,,Red,48775,15,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,9,15227.0
92,816000,Hyundai,Creta,SX PLUS AT 1.6 PETROL,2017,Automatic,SUV,Petrol,,Red,78167,15,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,8,15532.0
93,534000,Hyundai,NEW SANTRO,MAGNA AMT,2021,Automatic,Hatchback,Petrol,,Red,15251,15,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,10440.0
94,750000,Mahindra,XUV300,W8 (O) 1.2 PETROL AMT,2021,Automatic,SUV,Petrol,,Red,26825,15,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,12,14663.0
95,522000,Maruti,S PRESSO,VXI PLUS (O) AMT,2023,Automatic,Hatchback,Petrol,,Silver,1261,15,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,4,10205.0
96,511000,Tata,Tiago,XZA PLUS PETROL,2020,Automatic,Hatchback,Petrol,,Silver,14236,15,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,5,9990.0
97,370000,Mahindra,KUV 100 NXT,K4+ D 6 STR,2017,Manual,SUV,Diesel,,Silver,75752,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7234.0
98,1147000,KIA,SELTOS,GTX AT 1.4 PETROL,2020,Automatic,SUV,Petrol,,Silver,28599,15,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,11,21832.0
99,537600,Maruti,Baleno,DELTA PETROL 1.2,2021,Manual,Hatchback,Petrol,,Silver,56680,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,10510.0
100,525000,Maruti,Vitara Brezza,LDI (O),2017,Manual,SUV,Diesel,,Silver,87276,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10264.0
101,250000,Maruti,Alto 800,LXI O,2015,Manual,Hatchback,Petrol,,Silver,60640,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5561.0
102,472000,Renault,Kwid,CLIMBER MT 1.0,2022,Manual,Hatchback,Petrol,,Orange,32711,15,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,5,9228.0
103,340000,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2014,Manual,Hatchback,Petrol,,Orange,82502,15,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,5,8954.0
104,343380,Maruti,Celerio,ZXI AMT (O),2018,Automatic,Hatchback,Petrol,,Silver,65879,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,6713.0
105,552000,Hyundai,AURA,S 1.2 CNG,2020,Manual,Sedan,CNG,,Brown,72642,13,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,10792.0
106,999000,KIA,SELTOS,HTE 1.5 PETROL,2022,Manual,SUV,Petrol,,White,27959,15,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,4,19015.0
107,154000,Volkswagen,Polo,HIGHLINE1.5L,2014,Manual,Hatchback,Diesel,,Red,142262,14,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,5115.0
108,528691,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,2020,Manual,Hatchback,Petrol,,White,49442,15,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,6,10336.0
109,640000,Hyundai,Creta,SX PLUS  ANNIVERSARY EDITION 1.6 DIESEL,2016,Manual,SUV,Diesel,,White,75276,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14236.0
110,650000,Renault,Duster,RXS PETROL,2018,Manual,SUV,Petrol,,Brown,51379,15,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,5,12708.0
111,473000,Hyundai,NEW SANTRO,SPORTZ AMT,2020,Automatic,Hatchback,Petrol,,Silver,24647,15,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,5,9247.0
112,335000,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2015,Manual,Hatchback,CNG,,Blue,52804,13,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,5,11127.0
113,337000,Maruti,Baleno,ZETA PETROL 1.2,2016,Manual,Hatchback,Petrol,,Red,60922,15,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,6588.0
114,600000,Hyundai,Creta,E PLUS 1.6 PETROL,2018,Manual,SUV,Petrol,,Silver,181754,15,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,13347.0
115,390000,Renault,Kwid,CLIMBER AMT 1.0,2022,Automatic,Hatchback,Petrol,,Silver,34472,15,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,5,7625.0
116,800000,Mahindra,XUV300,W8 1.5 DIESEL,2019,Manual,SUV,Diesel,,Red,28430,14,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,9,15227.0
117,370000,Maruti,S PRESSO,VXI AMT,2021,Automatic,Hatchback,Petrol,,Silver,32017,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,7234.0
118,2265000,Mahindra,XUV700,AX 7 LUXURY D MT 7 STR,2024,Manual,SUV,Diesel,,White,24421,14,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,13,43112.0
119,735000,Ford,Ecosport,TITANIUM + SE 1.5L DIESEL,2021,Manual,SUV,Diesel,,White,39839,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14369.0
